id,soc_stock_t_ha_observado,soc_stock_t_ha_predito,mean_prediction,median_prediction,sampling_year,error,code_state.x,abbrev_state.x,name_state,code_region,name_region,code_muni,name_muni,code_state.y,abbrev_state.y,geometry
ctb0033-RO3327,23,23.59,3806,3783,1996,0.59,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.01972222|-9.44583333
ctb0033-RO3333,23,22.61,4138,4183,1996,-0.390000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.04694444|-9.495
ctb0033-RO3334,23,24.89,0,0,1996,1.89,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.12916667|-9.50722222
ctb0033-RO3349,23,21.75,5749,3907,1996,-1.25,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.83527778|-9.40416667
ctb0033-RO3588,23,21.78,3424,3342,1996,-1.22,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-62.89138889|-8.38138889
ctb0033-RO3894,23,23.36,3421,3369,1996,0.359999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.27194444|-9.12833333
ctb0033-RO3896,23,24.28,3475,3393,1996,1.28,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.25111111|-9.1775
ctb0033-RO2950,24,24.14,3682,3533,1996,0.140000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.70361111|-9.80777778
ctb0033-RO2967,24,24.37,3683,3596,1996,0.370000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-66.005|-9.6025
ctb0033-RO2991,24,24.32,3503,3477,1996,0.32,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-66.32055556|-9.59416667
ctb0033-RO2995,24,24.55,3967,3856,1996,0.550000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-66.41972222|-9.84138889
ctb0033-RO3320,24,23.59,4507,4090,1996,-0.41,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.94416667|-9.59694444
ctb0033-RO3594,24,23.03,4006,3898,1996,-0.969999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-62.99|-8.31555556
ctb0033-RO3711,24,23.49,3781,3696,1996,-0.510000000000002,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.76277778|-8.91583333
ctb0033-RO3715,24,24.3,4034,3923,1996,0.300000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.13416667|-8.73444444
ctb0033-RO2390,25,24.72,3878,3807,1996,-0.280000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.64138889|-8.62583333
ctb0033-RO2919,25,24.07,3861,3789,1996,-0.93,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.40138889|-9.67527778
ctb0033-RO2944,25,24.38,4053,4049,1996,-0.620000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.44972222|-9.66861111
ctb0033-RO2963,25,29.78,3338,3245,1996,4.78,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.98138889|-9.465
