"point_id","year","soc_stock_g_m2","code_muni","name_muni","code_state","abbrev_state","name_state","code_region","name_region","geometry"
"ctb0033-RO3349",1996,2175,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.83527778, -9.40416667)
"ctb0033-RO3350",1996,2066,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.83555556, -9.43416667)
"ctb0033-RO3351",1996,6064,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-63.96527778, -8.81777778)
"ctb0033-RO3352",1996,5870,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-63.95388889, -8.87222222)
"ctb0033-RO3353",1996,2557,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.02722222, -8.89416667)
"ctb0033-RO3354",1996,6957,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.06194444, -8.86361111)
"ctb0033-RO3580",1996,1676,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-62.91555556, -8.05861111)
"ctb0033-RO3581",1996,6186,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-62.89111111, -8.165)
"ctb0033-RO3582",1996,5161,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-62.92111111, -8.16388889)
"ctb0033-RO3583",1996,5244,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-62.94555556, -8.11972222)
"ctb0033-RO3584",1996,3898,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-62.92555556, -8.11888889)
"ctb0033-RO3585",1996,7563,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-62.91305556, -8.16694444)
"ctb0033-RO3586",1996,4671,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-62.91333333, -8.21888889)
"ctb0033-RO3587",1996,4090,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-62.93833333, -8.21861111)
