point_id,year,soc_stock_g_m2,code_state,abbrev_state,name_state,code_region,name_region,latitude,longitude
ctb0033-RO1282,1996,7612,11,RO,Rondônia,1,Norte,c(-64.23055556, -12.42083333)
ctb0033-RO1283,1996,3821,11,RO,Rondônia,1,Norte,c(-64.22972222, -12.42555556)
ctb0033-RO1284,1996,2302,11,RO,Rondônia,1,Norte,c(-63.99694444, -12.03166667)
ctb0033-RO1285,1996,2633,11,RO,Rondônia,1,Norte,c(-64.045, -11.99138889)
ctb0033-RO1286,1996,1849,11,RO,Rondônia,1,Norte,c(-64.02833333, -12.02416667)
ctb0033-RO1287,1996,7488,11,RO,Rondônia,1,Norte,c(-63.48972222, -12.10027778)
ctb0033-RO1288,1996,1145,11,RO,Rondônia,1,Norte,c(-63.48916667, -12.06361111)
ctb0033-RO1289,1996,4427,11,RO,Rondônia,1,Norte,c(-63.81333333, -12.29972222)
ctb0033-RO1290,1996,4688,11,RO,Rondônia,1,Norte,c(-63.79611111, -12.25138889)
ctb0033-RO1291,1996,1620,11,RO,Rondônia,1,Norte,c(-63.77166667, -12.17055556)
ctb0033-RO1292,1996,3017,11,RO,Rondônia,1,Norte,c(-63.37416667, -12.18944444)
ctb0033-RO1293,1996,4140,11,RO,Rondônia,1,Norte,c(-63.44694444, -12.05)
ctb0033-RO1294,1996,11696,11,RO,Rondônia,1,Norte,c(-64.01166667, -11.55638889)
