"system.index","id","mean_prediction","median_prediction","sampling_year","soc_stock_tha","longitude","latitude"
"00000000000000000a78","ctb0033-RO2404",3515,3329,1996,13,-62.050277358445,-12.2419446865135
"00000000000000000adb","ctb0033-RO2503",4243,4175,1996,13,-60.8883337241402,-12.953331832176
"00000000000000000aec","ctb0033-RO2520",3880,3790,1996,13,-61.1097236323427,-13.0024978803913
"00000000000000000b11","ctb0033-RO2557",4441,4252,1996,13,-60.9136123680122,-12.3555536631532
"00000000000000000b26","ctb0033-RO2578",3398,3349,1996,13,-60.8380573597626,-12.0149987383983
"00000000000000000b41","ctb0033-RO2605",3426,3288,1996,13,-61.466665753469,-12.1769443704574
"00000000000000000b45","ctb0033-RO2610",3400,3347,1996,13,-61.3269442810603,-12.2141644869505
"00000000000000000b5a","ctb0033-RO2631",4230,4082,1996,13,-62.3802775910063,-13.0852766323475
"00000000000000000b68","ctb0033-RO2645",4799,4556,1996,13,-62.049443506548,-13.2580534208653
"00000000000000000b8a","ctb0033-RO2679",3362,3281,1996,13,-62.0099982986292,-9.7044441819385
"00000000000000000ba7","ctb0033-RO2802",3453,3370,1996,13,-61.2961095972757,-11.7649992378369
"00000000000000000bc5","ctb0033-RO2832",4202,4161,1996,13,-60.9219464278811,-11.6819440216154
"00000000000000000c5e","ctb0033-RO3003",5229,4158,1996,13,-63.0283321244068,-12.4324999109314
"00000000000000000c91","ctb0033-RO3054",3526,3416,1996,13,-61.4455563690819,-11.1077767926706
"00000000000000000c9a","ctb0033-RO3063",3941,3921,1996,13,-61.3644453209198,-11.119999188658
"00000000000000000d13","ctb0033-RO3184",3603,3510,1996,13,-61.374723548848,-11.6894442295873
"00000000000000000dda","ctb0033-RO3389",3692,3626,1996,13,-61.7033325418806,-11.9066648783049
"00000000000000000e2f","ctb0033-RO3474",3292,3122,1996,13,-62.8313870081792,-10.0688909701377
"00000000000000000e5b","ctb0033-RO3518",3347,3302,1996,13,-61.8991673419458,-10.4105562110548
"00000000000000000edc","ctb0033-RO3656",3685,3561,1996,13,-62.1774999706009,-11.0108314766676
"00000000000000000f44","ctb0033-RO3770",3654,3568,1996,13,-61.8905568178116,-11.2452776327546
"00000000000000000fab","ctb0033-RO3906",3253,3178,1996,13,-61.9608322504139,-11.6252777654282
"00000000000000000fb1","ctb0033-RO3912",3166,3094,1996,13,-61.8844433902673,-11.7813908933094
"00000000000000000fb9","ctb0033-RO3920",4163,4081,1996,13,-62.0858342302452,-11.9441659181643
"00000000000000000652","ctb0033-RO0663G",3575,3534,1996,14,-62.7925839108121,-11.0333989870991
